"Link","Name","Pos","Height RAS","Weight RAS","Arm RAS","Hand RAS","Forty RAS","Twenty RAS","Ten RAS","Bench RAS","Vertical RAS","Broad RAS","Shuttle RAS","Cone RAS","RAS"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=19081&ovl=Holy+Cross"">Link</a>","C.J. Hanson","OG","8.55","2.68",,,"9.61","9.26","8.78",,"9.82","9.82",,,"9.85"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=19082&ovl=South+Florida"">Link</a>","Braxton Clark","CB","9.95","8.36",,,"2.98","4.76","6.17",,"2.49","5.76","2.20","2.52","4.61"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=19908&ovl=West+Virginia"">Link</a>","Marcis Floyd","FS","4.41","4.09",,,"8.32","6.95","6.31","3.29","8.40","8.73","8.14","6.08","7.55"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=19944&ovl=Texas+Christian"">Link</a>","Curtis Raymond","WR","9.26","9.45",,,"3.55","2.22","0.47",,"0.21","6.28","1.70","3.90","2.82"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=19945&ovl=Miami"">Link</a>","Matt Lee","OC","7.04","5.57",,,"9.30","8.57","8.49","5.76","8.96","9.40","5.81","3.43","8.66"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=19987&ovl=North+Carolina+State"">Link</a>","Dylan McMahon","OC","6.29","4.39",,,"8.50","8.63","8.82","5.76","9.68","9.90","9.88","9.94","9.79"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20953"">Link</a>","Average QB","QB","5.32","5.33",,,"4.81","4.62","4.56","5.24","5.15","5.00","5.65","5.01","4.87"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20954"">Link</a>","Average RB","RB","5.21","5.18",,,"4.90","4.95","5.23","5.53","5.63","5.19","5.29","5.21","5.07"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20955"">Link</a>","Average FB","FB","4.65","5.14",,,"5.16","4.66","5.08","5.57","5.28","4.90","5.36","4.94","4.76"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20956"">Link</a>","Average WR","WR","5.15","5.46",,,"5.04","4.74","5.07","5.47","5.56","5.04","5.48","5.26","5"
